0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.49444443,0.37777779,0.8388889,-0.89444447,0.36666667,0.68333334,0.41111112,6.1060233,-8.0483465,-1.8734014,6.4706726,-8.075858,0.6841119,-2.3245392,-131,76,-95,138,-50,164,163,0.6401736,0.33766752,0.77896065,-0.69491565,-0.18444176,1.2492751,1.4111111,14.572918,-4.011024,-5.992826,19.95288,-55.110844,56.594173,100
0.16666667,0.28333333,0.8666667,0.32222223,-0.85,-0.17777778,0.98888886,7.1003156,-6.6755643,9.670168,9.284221,6.9160523,-9.73168,-9.569706,-142,-191,-107,152,155,-49,192,0.18388557,0.25230822,0.61532634,0.4365939,-0.52183974,-0.27863786,1.9888889,1.7218907,-3.1025102,-25.134033,11.437166,32.81603,-10.086007,100
-0.5,0.96666664,0.2611111,0.7888889,0.06666667,0.5,1,-1.4521624,-1.8364167,6.071666,4.564631,-4.878019,7.8342156,8.943034,157,78,-181,128,-110,-174,-183,-0.49283907,0.9669564,0.3231534,0.8171858,0.041103028,-0.016390054,0,0.71609277,0.028970594,6.204229,2.8296912,-2.556364,-51.639004,-100
-0.65555555,-0.98888886,-0.35,0.20555556,-0.16111112,0.46666667,-0.094444446,-1.0843159,6.2117887,-3.4156687,-3.4386826,-3.177988,5.6039543,9.499666,74,125,106,-140,79,-14,-187,-0.6708526,-0.9439669,-0.24520773,0.19806539,0.626407,0.64650184,-1.0944444,-1.5297025,4.492196,10.479228,-0.74901646,78.75181,17.98352,-100
-0.82222223,-0.65555555,-0.072222225,-0.71666664,0.8833333,-0.8111111,0.2888889,3.3229098,-0.30072713,5.829529,0.9028003,7.589002,2.0353308,-9.533653,-124,-125,-98,95,42,-176,21,-0.8254959,-0.64270574,-0.015367221,-0.7144132,0.96767205,-1.2745668,0.6354102,-0.32736748,1.284982,5.6855,0.22534269,8.433869,-46.345566,34.65213
0.45,-0.67777777,-0.50555557,-0.60555553,-0.23888889,-0.48333332,-0.027777778,9.252106,-6.879876,8.499283,-5.1330996,9.2144375,1.8351752,8.666485,2,86,-11,155,174,151,-62,0.5056595,-0.71251184,-0.38709503,-0.47041345,0.76111114,0.40225247,-1.0277778,5.565954,-3.4734035,11.846053,13.514212,100,88.55858,-100
-0.5277778,-0.57222223,-0.1,-0.46666667,0.31111112,0.027777778,-0.9388889,-7.097508,8.147554,-0.88693064,-0.8186021,-7.9518714,-5.4005284,-5.755572,175,-38,171,-99,115,118,104,-0.5861468,-0.49486318,-0.07846905,-0.41501862,0.39889503,0.46090448,0.06111111,-5.836902,7.735904,2.1530948,5.1648045,8.778391,43.31267,100
-0.36666667,0.37777779,0.51666665,-0.7111111,0.11111111,0.5888889,-0.05,3.422103,5.4545636,-8.315762,6.3585234,-1.0893707,1.100733,-5.2997518,-138,-100,-184,14,47,125,120,-0.22512226,0.43108055,0.19817281,-0.5588802,0.2290976,1.07959,0.95,14.154441,5.3302774,-31.849386,15.223091,11.798649,49.07011,100
-0.8888889,-0.11111111,0.9222222,-0.96666664,-0.2777778,0.07777778,-0.5388889,6.522427,-1.4153138,0.5540387,-2.1912165,6.3757925,9.522833,7.6110077,-141,191,-36,160,-93,-142,117,-0.99897325,-0.109144464,1.060211,-1.1068369,-1.2777778,-0.72362787,0.4611111,-11.008439,0.19666436,13.798877,-14.017029,-100,-80.140564,100
0.25555557,0.23333333,0.90555555,-0.07777778,-0.6,-0.87777776,0.76666665,3.2953997,2.2615762,7.6650844,8.59352,2.2014182,3.253751,9.708325,-67,29,74,-97,73,117,-144,0.17294723,0.20114419,1.161994,-0.08953,-0.17815055,-0.5437022,-0.23333333,-8.260833,-3.2189143,25.643837,-1.1752224,42.184944,33.40756,-100
0.75555557,0.6333333,0.42222223,-0.76666665,-0.6166667,0.4888889,0.45555556,2.7533815,-3.8589842,9.6452875,-4.1747065,-8.273845,8.0325165,4.113233,-56,188,16,-105,-150,-31,51,0.70772815,0.60183024,0.6755079,-0.93973243,-1.6166667,0.17576954,1.4555556,-4.7827406,-3.1503093,25.32857,-17.306576,-100,-31.311935,100
-0.23333333,0.5,0.06666667,0.11666667,-0.23333333,-0.6166667,-0.094444446,-0.15394646,6.970322,-3.7738152,9.803543,-1.572756,9.962262,0.14852,139,-13,43,-75,-5,63,55,-0.22635342,0.56178945,0.16243932,0.20626907,-0.51185805,-0.37105966,0.88573164,0.6979914,6.178948,9.577265,8.96024,-27.85247,24.560701,98.01761
-0.12777779,0.51666665,0.8611111,0.5611111,-0.81666666,-0.2611111,0.87222224,-7.6851597,1.7896413,-1.104214,-9.654718,-5.980973,6.2095904,8.720609,-5,120,134,36,-130,-7,9,-0.17757748,0.5028646,1.0821127,0.4060583,-1.8166667,-0.58699167,1.7575352,-4.97997,-1.3802059,22.100159,-15.50528,-100,-32.588055,88.531296
-0.9388889,-0.33333334,0.30555555,0.44444445,-0.7277778,-0.8888889,-0.5555556,-8.607925,-5.9668393,-5.772034,-6.465171,-2.730765,-6.078887,-2.8137112,167,2,-85,5,110,50,-182,-0.8111013,-0.39011693,-0.48257205,0.35897568,0.27222222,-0.59238625,-1.5555556,12.778755,-5.678361,-78.81276,-8.546878,100,29.650267,-100
-0.3611111,-0.59444445,-0.29444444,-0.59444445,0.92777777,-0.76111114,-0.78333336,0.77261996,-5.2285056,8.38204,-9.6525135,-7.3675475,-4.1274986,1.0047542,-146,-130,-107,-67,-150,33,-4,-0.3599691,-0.66436726,-0.22730207,-0.7733058,0.4203261,-0.78771627,-0.48036236,0.11420094,-6.992281,6.7142367,-17.886131,-50.745167,-2.6605136,30.297098
